Wall time,Step,Value
1722407784.2148552,4,9.300000190734863
1722407784.3128397,14,0.0
1722407784.322631,15,87.0
1722407784.3525813,18,0.0
1722407784.3626697,19,8.899999618530273
1722407785.0401995,26,85.0999984741211
1722407785.1102426,27,8.0
1722407785.9372473,40,0.800000011920929
1722407786.3866231,47,0.0
1722407786.4536614,48,19.899999618530273
1722407786.5204415,49,101.4000015258789
1722407786.8460543,54,18.799999237060547
1722407787.3835192,62,0.0
1722407787.4479573,63,11.0
1722407787.6414907,66,9.800000190734863
1722407787.7093384,67,48.099998474121094
1722407787.9128225,70,6.699999809265137
1722407787.979409,71,24.5
1722407788.3837044,77,75.5
1722407788.7276745,82,44.099998474121094
1722407789.200694,89,6.599999904632568
1722407789.895516,99,10.100000381469727
1722407790.1874375,103,68.0
1722407790.4628553,107,89.0
1722407791.4442103,121,22.100000381469727
1722407791.7323923,125,8.300000190734863
1722407791.8025315,126,0.0
1722407791.9466348,128,14.399999618530273
1722407792.081984,130,0.0
1722407792.5272315,136,12.0
1722407793.2398703,144,22.200000762939453
1722407793.393733,146,0.0
1722407793.4648643,147,90.0
1722407793.6947818,150,0.0
1722407794.2291486,157,107.0
1722407794.4563973,160,2.700000047683716
1722407794.619051,162,28.899999618530273
1722407794.7593064,164,33.0
1722407795.264076,171,134.6999969482422
1722407795.3305485,172,77.80000305175781
1722407795.6997328,177,51.70000076293945
1722407796.332796,184,17.100000381469727
1722407796.414777,185,11.600000381469727
1722407796.833811,191,37.400001525878906
1722407796.9051697,192,20.299999237060547
1722407797.6787717,203,74.19999694824219
1722407797.8244088,205,39.20000076293945
1722407798.4322531,213,76.5
1722407798.5680182,215,45.79999923706055
1722407799.2306116,224,53.79999923706055
1722407799.617899,229,39.79999923706055
1722407800.7679262,244,23.600000381469727
1722407800.8360953,245,6.5
1722407801.8722072,258,75.0
1722407801.9430494,259,69.5
1722407802.014686,260,0.0
1722407802.8078032,271,44.20000076293945
1722407803.0315537,274,90.69999694824219
1722407803.3182466,278,27.399999618530273
1722407803.615663,282,0.0
1722407803.8184497,285,77.19999694824219
1722407804.0189428,288,3.4000000953674316
1722407804.152763,290,0.0
1722407804.4817126,295,55.79999923706055
1722407804.6127064,297,13.800000190734863
1722407804.6776984,298,128.10000610351562
1722407805.3667758,308,46.599998474121094
1722407805.6390774,312,14.199999809265137
1722407805.9061182,316,15.300000190734863
1722407806.040073,318,27.899999618530273
1722407806.1079,319,0.0
1722407806.322297,322,29.299999237060547
1722407807.385104,337,40.5
1722407807.9538286,345,28.799999237060547
1722407808.0203223,346,5.800000190734863
1722407808.8335187,358,14.0
1722407809.2692108,364,84.0999984741211
1722407809.3419354,365,0.0
1722407809.4123147,366,47.599998474121094
1722407810.2356682,378,22.5
1722407810.8177855,386,65.69999694824219
1722407811.0921426,390,46.599998474121094
1722407811.231023,392,91.30000305175781
1722407811.5840812,397,47.0
1722407811.9529595,402,78.5999984741211
1722407812.087148,404,100.9000015258789
1722407812.846794,415,53.5
1722407813.3111153,421,33.0
1722407813.380324,422,76.5
1722407814.4119847,436,51.0
1722407814.477432,437,8.199999809265137
1722407814.613772,439,82.0999984741211
1722407814.981243,444,57.099998474121094
1722407815.1151927,446,52.70000076293945
1722407815.5231285,452,11.699999809265137
1722407815.7952905,456,8.800000190734863
1722407816.168532,461,0.0
1722407816.4407938,465,131.8000030517578
1722407816.6478164,468,64.30000305175781
1722407816.7822711,470,3.0
1722407817.0551682,474,36.099998474121094
1722407817.1280792,475,0.0
1722407817.479196,480,34.900001525878906
1722407817.582504,481,49.0
1722407817.9973583,487,56.20000076293945
1722407818.4816067,494,53.599998474121094
1722407819.6077495,510,61.099998474121094
1722407819.7477186,512,17.5
1722407819.8154445,513,17.799999237060547
1722407819.882938,514,20.5
1722407820.0914903,517,51.900001525878906
1722407820.228331,519,0.0
1722407821.2402353,533,19.0
1722407821.3062177,534,87.9000015258789
1722407821.4407473,536,38.099998474121094
1722407821.5796816,538,42.70000076293945
1722407821.7178361,540,15.199999809265137
1722407822.0044212,544,79.9000015258789
1722407822.1384325,546,0.0
1722407822.4073927,550,101.4000015258789
1722407822.5488346,552,3.0
1722407822.8390987,556,57.0
1722407823.2973242,562,117.5999984741211
1722407823.4324646,564,58.29999923706055
1722407823.7084944,568,0.800000011920929
1722407824.831069,584,83.80000305175781
1722407824.8997858,585,40.20000076293945
1722407825.1020145,588,0.0
1722407825.2430053,590,28.200000762939453
1722407825.5123124,594,112.0
1722407825.645738,596,95.0999984741211
1722407826.49155,608,84.0999984741211
1722407826.8280332,613,42.29999923706055
1722407826.902557,614,28.0
1722407827.468057,622,61.29999923706055
1722407827.538676,623,53.20000076293945
1722407827.891745,628,83.5
1722407827.96113,629,20.100000381469727
1722407828.232327,633,89.69999694824219
1722407828.5040395,637,19.0
1722407828.9537036,643,73.30000305175781
1722407829.0219064,644,98.80000305175781
1722407829.3725,649,43.29999923706055
1722407829.5055234,651,110.4000015258789
1722407829.9756327,658,0.0
1722407830.1105404,660,57.79999923706055
1722407830.6059625,667,8.100000381469727
1722407831.167551,675,84.19999694824219
1722407831.2359993,676,22.700000762939453
1722407831.807943,684,7.800000190734863
1722407832.3564389,692,6.599999904632568
1722407832.5551093,694,68.80000305175781
1722407833.6673193,710,45.099998474121094
1722407834.4030426,721,65.80000305175781
1722407834.5361984,723,36.400001525878906
1722407834.662087,725,93.80000305175781
1722407834.729565,726,59.5
1722407834.8572733,728,54.5
1722407834.9216383,729,0.0
1722407835.0491276,731,67.80000305175781
1722407835.1135015,732,70.69999694824219
1722407835.17814,733,0.0
1722407835.5001001,738,68.5
1722407835.904384,744,34.400001525878906
1722407837.2478201,764,48.0
1722407837.7919908,772,0.0
1722407838.0147116,775,34.099998474121094
1722407838.0813594,776,160.3000030517578
1722407838.2151372,778,5.300000190734863
1722407838.3503208,780,150.10000610351562
1722407838.4999118,782,20.5
1722407838.9092183,788,35.599998474121094
1722407840.009654,804,22.299999237060547
1722407840.078992,805,0.0
1722407840.2282467,807,110.0999984741211
1722407840.4301045,810,58.5
1722407840.9719703,818,17.0
1722407841.0428176,819,39.0
1722407841.6988053,828,51.5
1722407841.9692216,832,20.100000381469727
1722407842.521178,840,105.19999694824219
1722407842.7441263,843,158.39999389648438
1722407842.8780727,845,102.5999984741211
1722407843.7096727,857,21.5
1722407844.0854826,862,88.5999984741211
1722407844.351955,866,0.0
1722407844.7261438,871,68.4000015258789
1722407845.615801,884,158.0
1722407845.74723,886,40.70000076293945
1722407846.16538,892,21.5
1722407846.363992,895,140.0
1722407846.495261,897,46.79999923706055
1722407846.8077881,901,7.900000095367432
1722407846.8765543,902,0.0
1722407847.2753522,908,61.70000076293945
1722407848.6420026,928,122.9000015258789
1722407848.7866368,930,58.0
1722407848.9287884,932,48.0
1722407849.6617627,942,89.30000305175781
1722407850.1365077,949,65.0999984741211
1722407850.5406115,955,89.5
1722407851.130213,963,0.0
1722407852.2509742,979,107.4000015258789
1722407852.489041,982,145.5
1722407852.754818,986,66.0
1722407853.1689198,992,56.20000076293945
1722407853.3118057,994,77.30000305175781
1722407853.6782238,999,114.4000015258789
1722407853.9019544,1002,70.30000305175781
1722407854.0396802,1004,114.9000015258789
1722407854.8072295,1015,75.69999694824219
1722407855.3364027,1022,0.0
1722407855.6155128,1026,15.100000381469727
1722407855.7528684,1028,0.0
1722407856.2935429,1036,0.0
1722407856.3614974,1037,60.400001525878906
1722407857.69427,1056,87.0
1722407857.981243,1060,109.30000305175781
1722407858.7129323,1070,92.5999984741211
1722407858.779261,1071,0.0
1722407858.9172275,1073,107.30000305175781
1722407859.1928196,1077,106.5999984741211
1722407859.817245,1086,57.400001525878906
1722407860.7965388,1098,27.700000762939453
1722407861.1239545,1102,30.0
1722407861.2653854,1104,80.0999984741211
1722407861.474959,1107,139.0
1722407861.622922,1109,0.0
1722407861.7763865,1111,154.8000030517578
1722407862.5150769,1121,41.400001525878906
1722407862.5922618,1122,88.69999694824219
1722407862.8383389,1125,11.600000381469727
1722407862.9346454,1126,104.5999984741211
1722407863.1715522,1129,73.5
1722407863.3952386,1132,36.900001525878906
1722407863.5281196,1134,88.4000015258789
1722407863.885143,1139,117.0
1722407864.38615,1146,172.8000030517578
1722407864.7255385,1151,73.5999984741211
1722407864.791208,1152,43.29999923706055
1722407865.6358948,1164,118.0999984741211
1722407866.3080816,1174,82.0999984741211
1722407866.4414153,1176,34.5
1722407866.5091088,1177,68.0
1722407867.007173,1184,92.9000015258789
1722407867.3595846,1189,23.0
1722407867.6308582,1193,50.29999923706055
1722407867.6998963,1194,38.29999923706055
1722407868.5646763,1206,107.0999984741211
1722407869.1217391,1214,99.0999984741211
1722407869.399563,1218,49.5
1722407869.7515354,1223,66.69999694824219
1722407869.8845487,1225,3.799999952316284
1722407870.154917,1229,61.5
1722407871.2412894,1244,0.0
1722407871.3775115,1246,71.9000015258789
1722407871.724141,1251,14.899999618530273
1722407871.793469,1252,107.4000015258789
1722407871.9313421,1254,73.5999984741211
1722407872.137462,1257,55.099998474121094
1722407872.4313877,1261,25.399999618530273
1722407872.83523,1267,73.0999984741211
1722407873.1043813,1271,0.0
1722407873.467979,1276,91.4000015258789
1722407873.926385,1282,44.599998474121094
1722407874.128027,1285,85.19999694824219
1722407874.4753275,1290,0.0
1722407874.6787527,1293,19.899999618530273
1722407875.0218732,1298,8.899999618530273
1722407875.0930712,1299,122.69999694824219
1722407875.3269045,1302,19.700000762939453
1722407875.616917,1306,117.19999694824219
1722407876.234021,1315,114.69999694824219
1722407876.7702641,1322,63.70000076293945
1722407876.9756784,1325,105.30000305175781
1722407877.0425553,1326,48.400001525878906
1722407877.665623,1335,102.69999694824219
1722407878.3702393,1345,135.8000030517578
1722407878.5734665,1348,23.399999618530273
1722407878.9876485,1354,114.0
1722407879.4092555,1360,21.799999237060547
1722407879.7307124,1364,44.0
1722407880.4906518,1375,191.39999389648438
1722407880.5567281,1376,117.5
1722407880.8252356,1380,0.0
1722407881.244249,1386,55.099998474121094
1722407881.51507,1390,12.899999618530273
1722407881.7184093,1393,15.600000381469727
1722407883.4235065,1417,61.5
1722407884.7603793,1436,110.69999694824219
