episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
0,0,82,5,0,9,9.5,0,5,4,1,8,8,9,5,2,8,8,0,42,0,9,9.5,0,8,9,8,1,1,7,8,3,4,9,0,50,0,9,9.0,1,0,7,10,1,5,7,4,3,1,9,0,100,1,9,9.0,1,10,2,1,5,3,10,2,4,7,3,0,100,1,9,9.0,1,1,4,2,6,8,10,6,9,8,1,0
0,1,71,1,0,8,9.0,0,4,1,8,8,9,5,2,8,8,0,0,33,0,8,9.0,0,9,8,1,1,7,8,3,4,9,0,0,50,0,8,8.0,1,0,10,1,5,7,4,3,1,9,0,0,98,0,8,8.5,0,2,1,5,3,10,2,4,7,3,0,0,100,1,8,8.0,1,4,2,6,8,10,6,9,8,1,0,0
0,2,59,1,0,7,8.0,1,0,8,8,9,5,2,8,8,0,0,0,25,0,7,8.5,0,8,1,1,7,8,3,4,9,0,0,0,50,0,7,7.0,1,0,1,5,7,4,3,1,9,0,0,0,98,1,7,7.5,1,0,5,3,10,2,4,7,3,0,0,0,98,1,7,7.5,0,2,6,8,10,6,9,8,1,0,0,0
0,3,53,0,0,6,7.5,0,0,8,9,5,2,8,8,0,0,0,0,24,0,6,8.0,0,1,1,7,8,3,4,9,0,0,0,0,49,1,6,6.5,0,1,5,7,4,3,1,9,0,0,0,0,93,1,6,7.0,0,5,3,10,2,4,7,3,0,0,0,0,98,1,6,6.5,1,6,8,10,6,9,8,1,0,0,0,0
0,4,48,0,0,5,7.0,0,0,9,5,2,8,8,0,0,0,0,0,23,1,5,7.5,0,1,7,8,3,4,9,0,0,0,0,0,49,1,5,5.5,1,5,7,4,3,1,9,0,0,0,0,0,90,0,5,6.5,0,3,10,2,4,7,3,0,0,0,0,0,90,1,5,6.0,0,8,10,6,9,8,1,0,0,0,0,0
0,5,28,0,0,4,6.5,0,0,5,2,8,8,0,0,0,0,0,0,16,0,4,7.0,0,7,8,3,4,9,0,0,0,0,0,0,42,0,4,5.0,0,7,4,3,1,9,0,0,0,0,0,0,90,0,4,5.5,1,0,2,4,7,3,0,0,0,0,0,0,90,1,4,5.0,1,10,6,9,8,1,0,0,0,0,0,0
0,6,11,0,0,3,5.5,1,0,2,8,8,0,0,0,0,0,0,0,16,0,3,6.0,1,0,3,4,9,0,0,0,0,0,0,0,42,0,3,4.0,1,0,3,1,9,0,0,0,0,0,0,0,88,1,3,5.0,0,2,4,7,3,0,0,0,0,0,0,0,84,1,3,4.5,0,6,9,8,1,0,0,0,0,0,0,0
0,7,4,0,0,2,5.0,0,0,8,8,0,0,0,0,0,0,0,0,16,0,2,5.0,1,0,4,9,0,0,0,0,0,0,0,0,39,0,2,3.5,0,3,1,9,0,0,0,0,0,0,0,0,88,1,2,4.0,1,4,7,3,0,0,0,0,0,0,0,0,75,0,2,4.0,0,9,8,1,0,0,0,0,0,0,0,0
0,8,0,0,0,1,4.5,0,0,8,0,0,0,0,0,0,0,0,0,16,0,1,4.0,1,0,9,0,0,0,0,0,0,0,0,0,39,1,1,2.5,1,0,9,0,0,0,0,0,0,0,0,0,88,1,1,3.0,1,0,3,0,0,0,0,0,0,0,0,0,67,1,1,3.5,0,8,1,0,0,0,0,0,0,0,0,0
0,9,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3.5,0,9,0,0,0,0,0,0,0,0,0,0,30,1,0,2.0,0,9,0,0,0,0,0,0,0,0,0,0,88,1,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,66,1,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0
