episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
0,0,91,10,0,9,9.0,1,-0.2,7,2,6,6,9,6,9,9,4,0,47,1,9,9.5,0,2.9,9,1,7,3,3,8,10,7,8,0,50,0,9,9.0,1,-0.2,5,8,3,2,10,9,8,7,1,0,100,1,9,9.0,1,5.8,3,3,7,2,2,7,5,10,3,0,92,1,9,9.5,0,7.9,9,9,7,7,2,6,5,1,3,0
0,1,82,3,0,8,8.5,0,6.9,2,6,6,9,6,9,9,4,0,0,47,1,8,8.5,1,8.8,1,7,3,3,8,10,7,8,0,0,45,0,8,8.5,0,4.9,8,3,2,10,9,8,7,1,0,0,97,0,8,8.5,0,2.9,3,7,2,2,7,5,10,3,0,0,83,1,8,9.0,0,8.9,9,7,7,2,6,5,1,3,0,0
0,2,74,1,0,7,8.0,0,1.9,6,6,9,6,9,9,4,0,0,0,46,0,7,8.0,0,0.9,7,3,3,8,10,7,8,0,0,0,45,0,7,7.5,1,-0.2,3,2,10,9,8,7,1,0,0,0,94,0,7,8.0,0,2.9,7,2,2,7,5,10,3,0,0,0,74,1,7,8.5,0,8.9,7,7,2,6,5,1,3,0,0,0
0,3,51,1,1,6,7.0,1,-0.2,6,9,6,9,9,4,0,0,0,0,39,0,6,7.5,0,6.9,3,3,8,10,7,8,0,0,0,0,45,0,6,6.5,1,-0.2,2,10,9,8,7,1,0,0,0,0,94,0,6,7.0,1,-0.2,2,2,7,5,10,3,0,0,0,0,74,1,6,7.5,1,6.8,7,2,6,5,1,3,0,0,0,0
0,4,38,1,0,5,6.0,1,0.0,9,6,9,9,4,0,0,0,0,0,39,0,5,6.5,1,-0.2,3,8,10,7,8,0,0,0,0,0,45,1,5,5.5,1,-0.2,10,9,8,7,1,0,0,0,0,0,94,0,5,6.0,1,-0.2,2,7,5,10,3,0,0,0,0,0,67,0,5,7.0,0,6.9,2,6,5,1,3,0,0,0,0,0
0,5,24,1,0,4,5.0,1,-0.2,6,9,9,4,0,0,0,0,0,0,39,0,4,5.5,1,-0.2,8,10,7,8,0,0,0,0,0,0,35,1,4,5.0,0,9.9,9,8,7,1,0,0,0,0,0,0,94,0,4,5.0,1,-0.2,7,5,10,3,0,0,0,0,0,0,65,0,4,6.5,0,1.9,6,5,1,3,0,0,0,0,0,0
0,6,16,0,1,3,4.5,0,-0.2,9,9,4,0,0,0,0,0,0,0,39,0,3,4.5,1,-0.2,10,7,8,0,0,0,0,0,0,0,26,1,3,4.5,0,8.9,8,7,1,0,0,0,0,0,0,0,87,0,3,4.5,0,6.9,5,10,3,0,0,0,0,0,0,0,59,0,3,6.0,0,5.9,5,1,3,0,0,0,0,0,0,0
0,7,3,0,1,2,4.0,0,-0.2,9,4,0,0,0,0,0,0,0,0,29,0,2,4.0,0,9.9,7,8,0,0,0,0,0,0,0,0,26,1,2,3.5,1,7.8,7,1,0,0,0,0,0,0,0,0,87,0,2,3.5,1,-0.2,10,3,0,0,0,0,0,0,0,0,54,0,2,5.5,0,4.9,1,3,0,0,0,0,0,0,0,0
0,8,0,0,1,1,3.0,1,0.0,4,0,0,0,0,0,0,0,0,0,22,0,1,3.5,0,6.9,8,0,0,0,0,0,0,0,0,0,26,1,1,2.5,1,0.0,1,0,0,0,0,0,0,0,0,0,87,0,1,2.5,1,-0.2,3,0,0,0,0,0,0,0,0,0,53,0,1,5.0,0,0.9,3,0,0,0,0,0,0,0,0,0
0,9,0,0,1,0,2.0,1,0.0,0,0,0,0,0,0,0,0,0,0,14,0,0,3.0,0,7.9,0,0,0,0,0,0,0,0,0,0,26,0,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,87,0,0,1.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,50,1,0,4.5,0,2.9,0,0,0,0,0,0,0,0,0,0
1,0,80,6,1,9,9.5,0,3.9,7,6,4,4,8,9,1,9,6,0,42,0,9,9.5,0,7.9,5,10,5,7,4,7,5,8,4,0,41,0,9,9.5,0,8.9,5,10,10,7,2,3,5,8,4,0,100,1,9,9.0,1,9.8,6,9,4,5,8,2,4,9,9,0,100,1,9,9.0,1,9.8,10,9,6,2,2,7,9,10,9,0
1,1,62,6,1,8,8.5,1,0.0,6,4,4,8,9,1,9,6,0,0,37,0,8,9.0,0,4.9,10,5,7,4,7,5,8,4,0,0,41,1,8,8.5,1,-0.2,10,10,7,2,3,5,8,4,0,0,100,1,8,8.0,1,5.8,9,4,5,8,2,4,9,9,0,0,90,1,8,8.5,0,9.9,9,6,2,2,7,9,10,9,0,0
1,2,37,6,1,7,7.5,1,5.8,4,4,8,9,1,9,6,0,0,0,37,0,7,8.0,1,-0.2,5,7,4,7,5,8,4,0,0,0,31,1,7,8.0,0,9.9,10,7,2,3,5,8,4,0,0,0,91,1,7,7.5,0,8.9,4,5,8,2,4,9,9,0,0,0,90,1,7,7.5,1,8.8,6,2,2,7,9,10,9,0,0,0
1,3,19,6,1,6,6.5,1,3.8,4,8,9,1,9,6,0,0,0,0,32,0,6,7.5,0,4.9,7,4,7,5,8,4,0,0,0,0,31,1,6,7.0,1,9.8,7,2,3,5,8,4,0,0,0,0,91,1,6,6.5,1,3.8,5,8,2,4,9,9,0,0,0,0,84,1,6,7.0,0,5.9,2,2,7,9,10,9,0,0,0,0
1,4,3,6,1,5,5.5,1,3.8,8,9,1,9,6,0,0,0,0,0,32,0,5,6.5,1,-0.2,4,7,5,8,4,0,0,0,0,0,24,1,5,6.5,0,6.9,2,3,5,8,4,0,0,0,0,0,91,1,5,5.5,1,4.8,8,2,4,9,9,0,0,0,0,0,82,1,5,6.5,0,1.9,2,7,9,10,9,0,0,0,0,0
1,5,0,6,1,4,4.5,1,0.0,9,1,9,6,0,0,0,0,0,0,28,0,4,6.0,0,3.9,7,5,8,4,0,0,0,0,0,0,24,1,4,5.5,1,0.0,3,5,8,4,0,0,0,0,0,0,83,0,4,5.0,0,7.9,2,4,9,9,0,0,0,0,0,0,82,1,4,5.5,1,0.0,7,9,10,9,0,0,0,0,0,0
1,6,0,6,1,3,3.5,1,0.0,1,9,6,0,0,0,0,0,0,0,21,0,3,5.5,0,6.9,5,8,4,0,0,0,0,0,0,0,24,1,3,4.5,1,0.0,5,8,4,0,0,0,0,0,0,0,83,1,3,4.0,1,-0.2,4,9,9,0,0,0,0,0,0,0,82,1,3,4.5,1,0.0,9,10,9,0,0,0,0,0,0,0
1,7,0,6,1,2,2.5,1,0.0,9,6,0,0,0,0,0,0,0,0,21,0,2,4.5,1,-0.2,8,4,0,0,0,0,0,0,0,0,19,1,2,4.0,0,4.9,8,4,0,0,0,0,0,0,0,0,79,1,2,3.5,0,3.9,9,9,0,0,0,0,0,0,0,0,82,1,2,3.5,1,0.0,10,9,0,0,0,0,0,0,0,0
1,8,0,6,1,1,1.5,1,0.0,6,0,0,0,0,0,0,0,0,0,13,1,1,4.0,0,7.9,4,0,0,0,0,0,0,0,0,0,19,0,1,3.0,1,0.0,4,0,0,0,0,0,0,0,0,0,79,1,1,2.5,1,0.0,9,0,0,0,0,0,0,0,0,0,82,0,1,2.5,1,0.0,9,0,0,0,0,0,0,0,0,0
1,9,0,6,1,0,0.5,1,0.0,0,0,0,0,0,0,0,0,0,0,9,1,0,3.5,0,3.9,0,0,0,0,0,0,0,0,0,0,15,0,0,2.5,0,3.9,0,0,0,0,0,0,0,0,0,0,79,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,82,0,0,1.5,1,-0.2,0,0,0,0,0,0,0,0,0,0
2,0,92,10,0,9,9.0,1,-0.2,2,10,3,9,2,5,6,5,8,0,50,1,9,9.0,1,2.8,7,10,5,2,2,4,6,6,1,0,50,0,9,9.0,1,-0.2,8,6,6,3,1,2,8,10,9,0,92,0,9,9.5,0,7.9,9,6,5,10,10,4,6,5,2,0,96,1,9,9.5,0,3.9,5,3,4,7,7,1,8,5,1,0
