episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
0,0,86,7,1,9,9.5,0,3,6,4,1,2,7,2,9,4,9,0,48,0,9,9.5,0,2,6,4,8,2,5,8,10,1,3,0,48,0,9,9.5,0,2,5,10,4,6,2,6,3,9,5,0,100,0,9,9.0,1,6,6,9,2,7,4,3,4,4,3,0,100,1,9,9.0,1,0,1,2,1,5,9,5,7,5,10,0
0,1,74,1,1,8,9.0,0,6,4,1,2,7,2,9,4,9,0,0,48,0,8,8.5,1,0,4,8,2,5,8,10,1,3,0,0,43,0,8,9.0,0,5,10,4,6,2,6,3,9,5,0,0,100,1,8,8.0,1,0,9,2,7,4,3,4,4,3,0,0,99,1,8,8.5,0,1,2,1,5,9,5,7,5,10,0,0
0,2,49,1,1,7,8.0,1,0,1,2,7,2,9,4,9,0,0,0,44,0,7,8.0,0,4,8,2,5,8,10,1,3,0,0,0,43,0,7,8.0,1,0,4,6,2,6,3,9,5,0,0,0,100,1,7,7.0,1,9,2,7,4,3,4,4,3,0,0,0,99,1,7,7.5,1,2,1,5,9,5,7,5,10,0,0,0
0,3,43,1,1,6,7.0,1,1,2,7,2,9,4,9,0,0,0,0,36,0,6,7.5,0,8,2,5,8,10,1,3,0,0,0,0,43,0,6,7.0,1,0,6,2,6,3,9,5,0,0,0,0,98,1,6,6.5,0,2,7,4,3,4,4,3,0,0,0,0,99,1,6,6.5,1,1,5,9,5,7,5,10,0,0,0,0
0,4,39,1,1,5,6.0,1,0,7,2,9,4,9,0,0,0,0,0,36,0,5,6.5,1,0,5,8,10,1,3,0,0,0,0,0,37,0,5,6.5,0,6,2,6,3,9,5,0,0,0,0,0,91,1,5,6.0,0,7,4,3,4,4,3,0,0,0,0,0,94,1,5,6.0,0,5,9,5,7,5,10,0,0,0,0,0
0,5,27,1,1,4,5.0,1,0,2,9,4,9,0,0,0,0,0,0,36,0,4,5.5,1,0,8,10,1,3,0,0,0,0,0,0,35,0,4,6.0,0,2,6,3,9,5,0,0,0,0,0,0,87,1,4,5.5,0,4,3,4,4,3,0,0,0,0,0,0,85,0,4,5.5,0,9,5,7,5,10,0,0,0,0,0,0
0,6,25,1,1,3,4.0,1,0,9,4,9,0,0,0,0,0,0,0,28,0,3,5.0,0,8,10,1,3,0,0,0,0,0,0,0,29,1,3,5.5,0,6,3,9,5,0,0,0,0,0,0,0,84,1,3,5.0,0,3,4,4,3,0,0,0,0,0,0,0,80,0,3,5.0,0,5,7,5,10,0,0,0,0,0,0,0
0,7,9,1,1,2,3.0,1,0,4,9,0,0,0,0,0,0,0,0,18,0,2,4.5,0,10,1,3,0,0,0,0,0,0,0,0,26,1,2,5.0,0,3,9,5,0,0,0,0,0,0,0,0,80,1,2,4.5,0,4,4,3,0,0,0,0,0,0,0,0,80,0,2,4.0,1,0,5,10,0,0,0,0,0,0,0,0
0,8,8,0,1,1,2.5,0,0,9,0,0,0,0,0,0,0,0,0,18,0,1,3.5,1,0,3,0,0,0,0,0,0,0,0,0,17,1,1,4.5,0,9,5,0,0,0,0,0,0,0,0,0,76,1,1,4.0,0,4,3,0,0,0,0,0,0,0,0,0,75,0,1,3.5,0,5,10,0,0,0,0,0,0,0,0,0
0,9,0,0,1,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,17,1,0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,76,1,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,75,0,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0
1,0,82,10,0,9,9.0,1,0,9,1,3,8,6,4,8,7,9,0,44,1,9,9.5,0,6,4,6,4,8,4,9,4,9,10,0,50,1,9,9.0,1,6,10,8,8,3,10,2,9,3,9,0,100,0,9,9.0,1,0,4,5,8,5,4,4,10,8,7,0,100,1,9,9.0,1,3,9,4,7,8,4,4,2,10,1,0
1,1,64,1,0,8,8.5,0,9,1,3,8,6,4,8,7,9,0,0,44,1,8,8.5,1,4,6,4,8,4,9,4,9,10,0,0,50,1,8,8.0,1,10,8,8,3,10,2,9,3,9,0,0,100,0,8,8.0,1,0,5,8,5,4,4,10,8,7,0,0,91,0,8,8.5,0,9,4,7,8,4,4,2,10,1,0,0
1,2,53,0,0,7,8.0,0,1,3,8,6,4,8,7,9,0,0,0,44,1,7,7.5,1,6,4,8,4,9,4,9,10,0,0,0,42,1,7,7.5,0,8,8,3,10,2,9,3,9,0,0,0,100,0,7,7.0,1,0,8,5,4,4,10,8,7,0,0,0,87,0,7,8.0,0,4,7,8,4,4,2,10,1,0,0,0
1,3,46,0,0,6,7.5,0,0,8,6,4,8,7,9,0,0,0,0,40,1,6,7.0,0,4,8,4,9,4,9,10,0,0,0,0,34,1,6,7.0,0,8,3,10,2,9,3,9,0,0,0,0,92,0,6,6.5,0,8,5,4,4,10,8,7,0,0,0,0,87,0,6,7.0,1,0,8,4,4,2,10,1,0,0,0,0
1,4,30,0,0,5,7.0,0,0,6,4,8,7,9,0,0,0,0,0,32,1,5,6.5,0,8,4,9,4,9,10,0,0,0,0,0,34,1,5,6.0,1,3,10,2,9,3,9,0,0,0,0,0,92,0,5,5.5,1,0,4,4,10,8,7,0,0,0,0,0,87,0,5,6.0,1,0,4,4,2,10,1,0,0,0,0,0
1,5,16,0,0,4,6.0,1,0,4,8,7,9,0,0,0,0,0,0,32,1,4,5.5,1,4,9,4,9,10,0,0,0,0,0,0,24,1,4,5.5,0,10,2,9,3,9,0,0,0,0,0,0,88,1,4,5.0,0,4,4,10,8,7,0,0,0,0,0,0,87,0,4,5.0,1,0,4,2,10,1,0,0,0,0,0,0
1,6,0,0,0,3,5.0,1,0,8,7,9,0,0,0,0,0,0,0,32,1,3,4.5,1,9,4,9,10,0,0,0,0,0,0,0,24,0,3,4.5,1,2,9,3,9,0,0,0,0,0,0,0,88,1,3,4.0,1,0,10,8,7,0,0,0,0,0,0,0,87,0,3,4.0,1,0,2,10,1,0,0,0,0,0,0,0
1,7,0,0,0,2,4.5,0,0,7,9,0,0,0,0,0,0,0,0,32,1,2,3.5,1,0,9,10,0,0,0,0,0,0,0,0,15,0,2,4.0,0,9,3,9,0,0,0,0,0,0,0,0,88,1,2,3.0,1,0,8,7,0,0,0,0,0,0,0,0,85,0,2,3.5,0,2,10,1,0,0,0,0,0,0,0,0
1,8,0,0,0,1,4.0,0,0,9,0,0,0,0,0,0,0,0,0,23,1,1,3.0,0,9,10,0,0,0,0,0,0,0,0,0,15,0,1,3.0,1,0,9,0,0,0,0,0,0,0,0,0,88,1,1,2.0,1,0,7,0,0,0,0,0,0,0,0,0,75,1,1,3.0,0,10,1,0,0,0,0,0,0,0,0,0
1,9,0,0,0,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0,2.5,0,10,0,0,0,0,0,0,0,0,0,0,15,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,88,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,75,1,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,86,1,1,9,9.5,0,9,8,6,2,5,2,5,7,5,8,0,41,1,9,9.5,0,9,6,8,7,5,2,6,8,8,6,0,50,1,9,9.0,1,6,1,6,10,2,4,9,6,8,1,0,100,1,9,9.0,1,2,2,3,2,2,7,9,2,9,2,0,100,1,9,9.0,1,6,9,8,2,1,10,10,10,3,7,0
2,1,77,0,1,8,9.0,0,0,6,2,5,2,5,7,5,8,0,0,41,1,8,8.5,1,6,8,7,5,2,6,8,8,6,0,0,50,1,8,8.0,1,1,6,10,2,4,9,6,8,1,0,0,100,1,8,8.0,1,2,3,2,2,7,9,2,9,2,0,0,91,1,8,8.5,0,9,8,2,1,10,10,10,3,7,0,0
2,2,55,0,1,7,8.0,1,0,2,5,2,5,7,5,8,0,0,0,41,1,7,7.5,1,8,7,5,2,6,8,8,6,0,0,0,44,0,7,7.5,0,6,10,2,4,9,6,8,1,0,0,0,97,1,7,7.5,0,3,2,2,7,9,2,9,2,0,0,0,91,1,7,7.5,1,8,2,1,10,10,10,3,7,0,0,0
2,3,34,0,1,6,7.0,1,0,5,2,5,7,5,8,0,0,0,0,41,1,6,6.5,1,7,5,2,6,8,8,6,0,0,0,0,44,0,6,6.5,1,0,2,4,9,6,8,1,0,0,0,0,97,1,6,6.5,1,2,2,7,9,2,9,2,0,0,0,0,89,1,6,7.0,0,2,1,10,10,10,3,7,0,0,0,0
2,4,24,0,1,5,6.0,1,0,2,5,7,5,8,0,0,0,0,0,36,1,5,6.0,0,5,2,6,8,8,6,0,0,0,0,0,44,0,5,5.5,1,0,4,9,6,8,1,0,0,0,0,0,97,1,5,5.5,1,2,7,9,2,9,2,0,0,0,0,0,89,1,5,6.0,1,1,10,10,10,3,7,0,0,0,0,0
2,5,15,0,1,4,5.0,1,0,5,7,5,8,0,0,0,0,0,0,34,1,4,5.5,0,2,6,8,8,6,0,0,0,0,0,0,40,0,4,5.0,0,4,9,6,8,1,0,0,0,0,0,0,97,1,4,4.5,1,7,9,2,9,2,0,0,0,0,0,0,79,1,4,5.5,0,10,10,10,3,7,0,0,0,0,0,0
2,6,0,0,0,3,4.5,0,0,7,5,8,0,0,0,0,0,0,0,34,1,3,4.5,1,6,8,8,6,0,0,0,0,0,0,0,31,0,3,4.5,0,9,6,8,1,0,0,0,0,0,0,0,97,1,3,3.5,1,9,2,9,2,0,0,0,0,0,0,0,79,1,3,4.5,1,0,10,3,7,0,0,0,0,0,0,0
2,7,0,0,0,2,3.5,1,0,5,8,0,0,0,0,0,0,0,0,34,1,2,3.5,1,0,8,6,0,0,0,0,0,0,0,0,25,0,2,4.0,0,6,8,1,0,0,0,0,0,0,0,0,95,1,2,3.0,0,2,9,2,0,0,0,0,0,0,0,0,69,0,2,4.0,0,10,3,7,0,0,0,0,0,0,0,0
2,8,0,0,0,1,3.0,0,0,8,0,0,0,0,0,0,0,0,0,34,1,1,2.5,1,0,6,0,0,0,0,0,0,0,0,0,17,0,1,3.5,0,8,1,0,0,0,0,0,0,0,0,0,86,1,1,2.5,0,9,2,0,0,0,0,0,0,0,0,0,69,0,1,3.0,1,0,7,0,0,0,0,0,0,0,0,0
2,9,0,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,84,1,0,2.0,0,2,0,0,0,0,0,0,0,0,0,0,62,0,0,2.5,0,7,0,0,0,0,0,0,0,0,0,0
