episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
0,0,86,5,0,9,9.5,0,5,4,5,6,3,5,5,7,3,4,0,42,0,9,9.5,0,8,7,10,10,2,3,6,5,5,9,0,50,0,9,9.0,1,0,10,4,6,6,10,2,1,1,5,0,100,0,9,9.0,1,0,1,3,10,8,4,5,5,2,3,0,100,1,9,9.0,1,0,1,8,6,10,2,9,8,7,7,0
0,1,75,1,0,8,9.0,0,4,5,6,3,5,5,7,3,4,0,0,35,0,8,9.0,0,7,10,10,2,3,6,5,5,9,0,0,50,0,8,8.0,1,0,4,6,6,10,2,1,1,5,0,0,100,0,8,8.0,1,0,3,10,8,4,5,5,2,3,0,0,99,1,8,8.5,0,1,8,6,10,2,9,8,7,7,0,0
0,2,62,1,0,7,8.0,1,0,6,3,5,5,7,3,4,0,0,0,25,0,7,8.5,0,10,10,2,3,6,5,5,9,0,0,0,46,0,7,7.5,0,4,6,6,10,2,1,1,5,0,0,0,97,0,7,7.5,0,3,10,8,4,5,5,2,3,0,0,0,99,0,7,7.5,1,8,6,10,2,9,8,7,7,0,0,0
0,3,24,1,0,6,7.0,1,0,3,5,5,7,3,4,0,0,0,0,25,0,6,7.5,1,0,2,3,6,5,5,9,0,0,0,0,46,0,6,6.5,1,0,6,10,2,1,1,5,0,0,0,0,97,0,6,6.5,1,0,8,4,5,5,2,3,0,0,0,0,99,0,6,6.5,1,0,10,2,9,8,7,7,0,0,0,0
0,4,8,0,0,5,6.5,0,0,5,5,7,3,4,0,0,0,0,0,23,0,5,7.0,0,2,3,6,5,5,9,0,0,0,0,0,46,1,5,5.5,1,0,10,2,1,1,5,0,0,0,0,0,89,0,5,6.0,0,8,4,5,5,2,3,0,0,0,0,0,99,0,5,5.5,1,0,2,9,8,7,7,0,0,0,0,0
0,5,1,0,0,4,5.5,1,0,5,7,3,4,0,0,0,0,0,0,20,0,4,6.5,0,3,6,5,5,9,0,0,0,0,0,0,36,1,4,5.0,0,10,2,1,1,5,0,0,0,0,0,0,85,0,4,5.5,0,4,5,5,2,3,0,0,0,0,0,0,99,0,4,4.5,1,0,9,8,7,7,0,0,0,0,0,0
0,6,0,0,0,3,5.0,0,0,7,3,4,0,0,0,0,0,0,0,14,0,3,6.0,0,6,5,5,9,0,0,0,0,0,0,0,36,1,3,4.0,1,0,1,1,5,0,0,0,0,0,0,0,80,0,3,5.0,0,5,5,2,3,0,0,0,0,0,0,0,99,0,3,3.5,1,0,8,7,7,0,0,0,0,0,0,0
0,7,0,0,0,2,4.0,1,0,3,4,0,0,0,0,0,0,0,0,14,1,2,5.0,1,0,5,9,0,0,0,0,0,0,0,0,36,1,2,3.0,1,0,1,5,0,0,0,0,0,0,0,0,75,0,2,4.5,0,5,2,3,0,0,0,0,0,0,0,0,91,0,2,3.0,0,8,7,7,0,0,0,0,0,0,0,0
0,8,0,0,0,1,3.5,0,0,4,0,0,0,0,0,0,0,0,0,14,1,1,4.0,1,0,9,0,0,0,0,0,0,0,0,0,35,1,1,2.5,0,1,5,0,0,0,0,0,0,0,0,0,75,0,1,3.5,1,0,3,0,0,0,0,0,0,0,0,0,84,0,1,2.5,0,7,7,0,0,0,0,0,0,0,0,0
0,9,0,0,0,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,14,1,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,30,1,0,2.0,0,5,0,0,0,0,0,0,0,0,0,0,75,0,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,84,1,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0
1,0,90,10,1,9,9.0,1,1,7,10,7,5,10,5,3,5,6,0,49,1,9,9.5,0,1,4,9,10,2,7,8,4,7,5,0,49,1,9,9.5,0,1,10,5,10,8,4,3,8,2,2,0,100,1,9,9.0,1,6,5,3,3,5,10,9,7,6,4,0,100,1,9,9.0,1,3,10,7,8,4,2,7,3,2,5,0
1,1,80,3,1,8,8.5,0,7,10,7,5,10,5,3,5,6,0,0,45,1,8,9.0,0,4,9,10,2,7,8,4,7,5,0,0,39,0,8,9.0,0,10,5,10,8,4,3,8,2,2,0,0,95,1,8,8.5,0,5,3,3,5,10,9,7,6,4,0,0,100,1,8,8.0,1,10,7,8,4,2,7,3,2,5,0,0
1,2,65,0,1,7,8.0,0,0,7,5,10,5,3,5,6,0,0,0,36,1,7,8.5,0,9,10,2,7,8,4,7,5,0,0,0,39,0,7,8.0,1,0,10,8,4,3,8,2,2,0,0,0,95,1,7,7.5,1,3,3,5,10,9,7,6,4,0,0,0,100,1,7,7.0,1,7,8,4,2,7,3,2,5,0,0,0
1,3,58,0,1,6,7.0,1,0,5,10,5,3,5,6,0,0,0,0,26,1,6,8.0,0,10,2,7,8,4,7,5,0,0,0,0,29,1,6,7.5,0,10,8,4,3,8,2,2,0,0,0,0,92,1,6,7.0,0,3,5,10,9,7,6,4,0,0,0,0,92,1,6,6.5,0,8,4,2,7,3,2,5,0,0,0,0
1,4,36,0,1,5,6.0,1,0,10,5,3,5,6,0,0,0,0,0,24,1,5,7.5,0,2,7,8,4,7,5,0,0,0,0,0,29,1,5,6.5,1,8,4,3,8,2,2,0,0,0,0,0,92,1,5,6.0,1,5,10,9,7,6,4,0,0,0,0,0,92,1,5,5.5,1,4,2,7,3,2,5,0,0,0,0,0
1,5,3,0,0,4,5.0,1,0,5,3,5,6,0,0,0,0,0,0,24,1,4,6.5,1,7,8,4,7,5,0,0,0,0,0,0,29,1,4,5.5,1,4,3,8,2,2,0,0,0,0,0,0,92,0,4,5.0,1,10,9,7,6,4,0,0,0,0,0,0,92,0,4,4.5,1,2,7,3,2,5,0,0,0,0,0,0
1,6,0,0,0,3,4.5,0,0,3,5,6,0,0,0,0,0,0,0,24,1,3,5.5,1,0,4,7,5,0,0,0,0,0,0,0,29,1,3,4.5,1,0,8,2,2,0,0,0,0,0,0,0,83,1,3,4.5,0,9,7,6,4,0,0,0,0,0,0,0,92,0,3,3.5,1,0,3,2,5,0,0,0,0,0,0,0
1,7,0,0,0,2,4.0,0,0,5,6,0,0,0,0,0,0,0,0,20,1,2,5.0,0,4,7,5,0,0,0,0,0,0,0,0,21,1,2,4.0,0,8,2,2,0,0,0,0,0,0,0,0,83,1,2,3.5,1,0,6,4,0,0,0,0,0,0,0,0,89,0,2,3.0,0,3,2,5,0,0,0,0,0,0,0,0
1,8,0,0,0,1,3.0,1,0,6,0,0,0,0,0,0,0,0,0,13,1,1,4.5,0,7,5,0,0,0,0,0,0,0,0,0,19,1,1,3.5,0,2,2,0,0,0,0,0,0,0,0,0,83,1,1,2.5,1,0,4,0,0,0,0,0,0,0,0,0,87,0,1,2.5,0,2,5,0,0,0,0,0,0,0,0,0
1,9,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,19,1,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,83,1,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,87,0,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0
2,0,74,10,1,9,9.0,1,0,7,3,4,6,10,4,5,9,2,0,50,1,9,9.0,1,4,3,6,1,9,7,4,9,9,6,0,46,0,9,9.5,0,4,6,8,7,2,2,2,7,5,6,0,100,1,9,9.0,1,0,6,9,9,7,3,3,9,1,2,0,100,0,9,9.0,1,0,5,1,3,9,6,1,9,9,5,0
2,1,58,10,1,8,8.0,1,7,3,4,6,10,4,5,9,2,0,0,50,1,8,8.0,1,3,6,1,9,7,4,9,9,6,0,0,40,1,8,9.0,0,6,8,7,2,2,2,7,5,6,0,0,100,1,8,8.0,1,6,9,9,7,3,3,9,1,2,0,0,95,0,8,8.5,0,5,1,3,9,6,1,9,9,5,0,0
2,2,48,10,1,7,7.0,1,3,4,6,10,4,5,9,2,0,0,0,50,1,7,7.0,1,6,1,9,7,4,9,9,6,0,0,0,32,0,7,8.5,0,8,7,2,2,2,7,5,6,0,0,0,91,1,7,7.5,0,9,9,7,3,3,9,1,2,0,0,0,95,0,7,7.5,1,0,3,9,6,1,9,9,5,0,0,0
2,3,40,6,1,6,6.5,0,4,6,10,4,5,9,2,0,0,0,0,50,1,6,6.0,1,1,9,7,4,9,9,6,0,0,0,0,32,0,6,7.5,1,0,2,2,2,7,5,6,0,0,0,0,82,1,6,7.0,0,9,7,3,3,9,1,2,0,0,0,0,92,1,6,7.0,0,3,9,6,1,9,9,5,0,0,0,0
2,4,38,0,1,5,6.0,0,6,10,4,5,9,2,0,0,0,0,0,41,1,5,5.5,0,9,7,4,9,9,6,0,0,0,0,0,32,0,5,6.5,1,0,2,2,7,5,6,0,0,0,0,0,75,1,5,6.5,0,7,3,3,9,1,2,0,0,0,0,0,83,1,5,6.5,0,9,6,1,9,9,5,0,0,0,0,0
2,5,20,0,1,4,5.5,0,0,4,5,9,2,0,0,0,0,0,0,41,1,4,4.5,1,7,4,9,9,6,0,0,0,0,0,0,32,0,4,5.5,1,0,2,7,5,6,0,0,0,0,0,0,75,1,4,5.5,1,3,3,9,1,2,0,0,0,0,0,0,83,1,4,5.5,1,6,1,9,9,5,0,0,0,0,0,0
